artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Next,Wifey,243666,False,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,"hip hop, pop, R&B"
Mis-Teeq,All I Want - Sunship Radio Edit,207400,False,2004,46,0.795,0.919,9,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079,"pop, Dance/Electronic"
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,False,2004,69,0.713,0.471,1,-7.392,0,0.483,0.421,0.0,0.0308,0.779,199.764,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,True,2004,77,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip hop
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,False,2004,59,0.734,0.668,0,-3.935,0,0.0349,0.0526,0.0,0.0925,0.651,99.971,"pop, Dance/Electronic"
Blue,Sorry Seems To Be The Hardest Word,210066,False,2004,57,0.564,0.6,7,-6.814,0,0.0305,0.183,2.19e-06,0.38,0.442,78.955,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,False,2004,81,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,"hip hop, pop, R&B"
Anastacia,Left Outside Alone,257426,False,2004,65,0.663,0.746,2,-3.567,0,0.0321,0.0697,0.0,0.0929,0.325,102.847,pop
Daddy Yankee,Gasolina,192600,False,2004,11,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,False,2004,53,0.785,0.799,11,-2.208,0,0.126,0.117,0.0,0.292,0.797,104.923,"hip hop, pop"
O-Zone,Dragostea Din Tei,215431,False,2004,56,0.809,0.965,0,-3.947,1,0.0427,0.177,0.0,0.0577,0.672,130.103,pop
Terror Squad,Lean Back,247426,True,2004,67,0.783,0.916,1,-3.344,1,0.415,0.11,0.0,0.0746,0.695,95.321,hip hop
Gwen Stefani,What You Waiting For?,221226,False,2004,60,0.676,0.948,5,-2.557,1,0.0628,0.0509,8.19e-06,0.384,0.731,136.027,"pop, R&B"
Ashanti,Only U - No Intro,186306,False,2004,56,0.601,0.621,6,-5.576,0,0.0434,0.0374,1.75e-06,0.188,0.278,94.547,"hip hop, pop, R&B"
Houston,I Like That,236520,False,2004,59,0.797,0.502,10,-3.925,0,0.0968,0.0154,0.0,0.1,0.385,106.997,"hip hop, pop"
Lloyd Banks,On Fire,187280,True,2004,61,0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,"hip hop, pop"
Akon,Locked Up,235066,True,2004,16,0.818,0.579,7,-4.475,1,0.101,0.023,0.0,0.107,0.354,89.987,pop
D12,My Band,298773,True,2004,73,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,190493,False,2004,42,0.802,0.672,7,-4.971,1,0.0847,0.0775,0.0,0.136,0.619,96.525,"hip hop, pop, R&B"
Destiny's Child,Lose My Breath,242013,False,2004,61,0.814,0.899,1,-5.958,1,0.0637,0.00727,0.219,0.0979,0.545,119.011,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,171360,False,2004,72,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),223000,False,2004,67,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,"pop, R&B"
LL Cool J,Headsprung,267320,False,2004,56,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,"hip hop, pop, R&B"
